uid,max_distance_from_home,maximum_distance,max_tot,wait,distance_straight_line,sld_avg,radius_of_gyration,norm_uncorrelated_entropy,number_of_visits,nv_avg,number_of_locations,nlr,raw_home_freq,raw_work_freq,raw_least_freq,home_freq_avg,work_freq_avg,hf_tot_df,wf_tot_df,n_user_home,n_user_work,n_user_home_avg,n_user_work_avg,home_entropy,work_entropy,class
2884,1.9809814283859861,2.565998796769012,0.07807622541320175,0.0,14.432296064694032,0.48107653548980106,1.054389999268549,0.9426807148172599,10,0.3333333333333333,7,0.003089143865842895,3,2,1,0.3333333333333333,0.06666666666666667,0.04727793696275072,0.0024154589371980675,194,4,0.005664085076869726,0.0002311871459946827,7.256902570913858,1.9182958340544896,5
4238,20.713188632581147,20.713188632581147,0.6302448725774491,0.0,81.98758538588001,2.732919512862667,3.2652860304100924,0.6456591506953582,39,1.3,4,0.00176522506619594,19,18,1,0.1,0.6,0.024355300859598854,0.0004830917874396135,96,81,0.005664085076869726,0.0025430586059415096,5.166255749710893,4.755417531839097,5
4413,5.61516272159773,5.61516272159773,0.17085382539356542,0.0,18.31510486566438,0.610503495522146,2.5138247026571903,0.9591479170272448,6,0.2,4,0.00176522506619594,2,2,1,0.6333333333333333,0.06666666666666667,0.05300859598853868,0.003381642512077295,30,112,0.005664085076869726,0.0025430586059415096,3.648179686792114,5.658690606405015,5
5374,4.365980392491033,4.793580341828428,0.145855352612069,0.0,22.560324907962723,0.7520108302654241,1.1622313063551732,0.9020992136160901,23,0.7666666666666667,11,0.0048543689320388345,6,4,1,0.06666666666666667,0.13333333333333333,0.0028653295128939827,0.0014492753623188406,32,32,0.005664085076869726,0.0025430586059415096,4.588131025553737,4.107893904777464,5
6581,2.8457219298287426,3.6995054556728517,0.11256568874396262,0.0,7.360454282563769,0.24534847608545896,1.0413245075624342,0.7743974703476993,8,0.26666666666666666,4,0.00176522506619594,5,1,1,0.2,0.03333333333333333,0.02865329512893983,0.0004830917874396135,44,42,0.00520171078488036,0.0025430586059415096,4.510916108375256,4.527802233480983,5
7005,10.167944539768557,13.725462572678058,0.41762775223208454,0.0,34.47578218366814,1.1491927394556045,3.454996956364479,0.7180212293982637,17,0.5666666666666667,7,0.003089143865842895,10,2,1,0.06666666666666667,0.06666666666666667,0.0071633237822349575,0.0004830917874396135,34,237,0.00520171078488036,0.0025430586059415096,3.903765380403336,6.476611783302035,5
7108,7.091067992290295,9.576484587188698,0.29138586122365345,0.0,99.80754841644323,3.3269182805481075,2.2502258950563063,0.7409041075551028,43,1.4333333333333333,12,0.00529567519858782,18,7,1,0.16666666666666666,0.23333333333333334,0.0057306590257879654,0.0004830917874396135,49,194,0.00520171078488036,0.0002311871459946827,4.520203889872592,7.256902570913858,5
7152,6.315682802782892,6.315682802782892,0.19216870825085877,0.0,32.44670293921437,1.081556764640479,2.5151457562966155,0.7501894679831699,22,0.7333333333333333,7,0.003089143865842895,12,3,1,0.3333333333333333,0.1,0.0028653295128939827,0.001932367149758454,7,116,0.00520171078488036,0.011790544445728817,2.0065202045550072,5.714203032902501,5
7599,1.318942351558855,1.318942351558855,0.04013175706745957,0.0,1.318942351558855,0.04396474505196183,0.5711187913368032,0.8112781244591328,4,0.13333333333333333,2,0.00088261253309797,3,1,1,0.6,0.03333333333333333,0.0071633237822349575,0.0004830917874396135,41,313,0.00520171078488036,0.011790544445728817,4.075345850254537,7.588965346829547,1
7819,14.197185148527739,14.004371064073357,0.4261141639448472,0.0,14.72016257380719,0.490672085793573,6.651607442672906,1.0,3,0.1,3,0.001323918799646955,1,1,1,0.4,0.03333333333333333,0.0028653295128939827,0.000966183574879227,37,70,0.00520171078488036,0.011790544445728817,4.313520873417174,5.377641080526155,5
